id,name,nation,pos,age,mp,starts,mins,nineties,gls,ast,xg,xag,team
0,Virgil van Dijk,NED,DF,33,11.0,11,990.0,11.0,1.0,1.0,0.5,0.3,Liverpool
1,Ryan Gravenberch,NED,MF,22,11.0,11,989.0,11.0,0.0,0.0,0.2,0.4,Liverpool
2,Mohamed Salah,EGY,FW,32,11.0,11,963.0,10.7,8.0,6.0,6.5,3.7,Liverpool
3,Trent Alexander-Arnold,ENG,DF,26,11.0,11,866.0,9.6,0.0,1.0,0.4,2.5,Liverpool
4,Ibrahima Konaté,FRA,DF,25,11.0,10,884.0,9.8,1.0,1.0,0.8,0.2,Liverpool
5,Alexis Mac Allister,ARG,MF,25,11.0,10,777.0,8.6,0.0,0.0,0.3,1.1,Liverpool
6,Andrew Robertson,SCO,DF,30,10.0,9,756.0,8.4,0.0,0.0,0.4,1.8,Liverpool
7,Dominik Szoboszlai,HUN,MF,24,11.0,8,746.0,8.3,0.0,1.0,1.5,1.2,Liverpool
8,Luis Díaz,COL,FW,27,11.0,8,648.0,7.2,5.0,2.0,2.8,1.5,Liverpool
9,Diogo Jota,POR,FW,27,7.0,7,492.0,5.5,2.0,2.0,2.7,0.8,Liverpool
10,Alisson,BRA,GK,32,6.0,6,528.0,5.9,0.0,0.0,0.0,0.0,Liverpool
11,Caoimhín Kelleher,IRL,GK,25,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,Liverpool
12,Darwin Núñez,URU,FW,25,8.0,4,427.0,4.7,2.0,1.0,1.5,0.5,Liverpool
13,Curtis Jones,ENG,MF,23,8.0,4,410.0,4.6,1.0,1.0,1.3,0.2,Liverpool
14,Cody Gakpo,NED,FW,25,11.0,3,423.0,4.7,1.0,1.0,0.7,1.0,Liverpool
15,Kostas Tsimikas,GRE,DF,28,6.0,2,232.0,2.6,0.0,0.0,0.1,0.5,Liverpool
16,Jarell Quansah,ENG,DF,21,1.0,1,45.0,0.5,0.0,0.0,0.0,0.0,Liverpool
17,Conor Bradley,NIR,DF,21,6.0,0,146.0,1.6,0.0,0.0,0.2,0.0,Liverpool
18,Joe Gomez,ENG,DF,27,3.0,0,57.0,0.6,0.0,0.0,0.3,0.0,Liverpool
19,Wataru Endo,JPN,MF,31,5.0,0,22.0,0.2,0.0,0.0,0.0,0.0,Liverpool
20,Federico Chiesa,ITA,FW,27,1.0,0,19.0,0.2,0.0,0.0,0.2,0.0,Liverpool
21,Vitezslav Jaros,CZE,GK,23,1.0,0,12.0,0.1,0.0,0.0,0.0,0.0,Liverpool
