name,record,points_per_game,home_record,away_record,goals,goals_per_game
Liverpool,9-1-1,2.55,5-0-1,4-1-0,21,1.91
Manchester City,7-2-2,2.09,4-1-0,3-1-2,22,2.00
Chelsea,5-4-2,1.73,2-3-1,3-1-1,21,1.91
Arsenal,5-4-2,1.73,3-2-0,2-2-2,18,1.64
Nottingham Forest,5-4-2,1.73,2-2-2,3-2-0,15,1.36
Brighton,5-4-2,1.73,3-3-0,2-1-2,19,1.73
Fulham,5-3-3,1.64,3-1-1,2-2-2,16,1.45
Newcastle United,5-3-3,1.64,3-1-1,2-2-2,13,1.18
Aston Villa,5-3-3,1.64,2-2-1,3-1-2,17,1.55
Tottenham Hotspur,5-1-5,1.45,4-0-2,1-1-3,23,2.09
Brentford,5-1-5,1.45,5-1-0,0-0-5,22,2.00
Bournemouth,4-3-4,1.36,3-1-1,1-2-3,15,1.36
Manchester United,4-3-4,1.36,3-1-2,1-2-2,12,1.09
West Ham United,3-3-5,1.09,2-1-3,1-2-2,13,1.18
Leicester City,2-4-5,0.91,1-2-2,1-2-3,14,1.27
Everton,2-4-5,0.91,1-2-2,1-2-3,10,0.91
Ipswich Town,1-5-5,0.73,0-3-2,1-2-3,12,1.09
Crystal Palace,1-4-6,0.64,1-2-3,0-2-3,8,0.73
Wolves,1-3-7,0.55,1-1-4,0-2-3,16,1.45
Southampton,1-1-9,0.36,1-1-3,0-0-6,7,0.64
